Name;Date;Amount;Category;Notes
rex harris;2023-07-24; 1448,29 ;Health;Molestias umerus cattus curto spero cetera abscido decretum via voro.
  stanley jones iii  ;2023-10-29;3681.86;health;Quo stultus tandem acies ambulo decumbo absum.
  DR. CAMILLE BROWN  ;3/2/2023;4364.87;Travel;Apostolus decipio balbus.
Bradley Kuphal PhD;2-24-2023;9806,40; Food ;vapulus ter volaticus curto clementia venustas capillus qui.
Teri Rolfson-Farrell DDS;1-21-2023;810.84;other;AGGERO USTILO CURSO TERMINATIO VOLUPTATEM MOLESTIAS ACCUSANTIUM CORONA USTILO CURA.
walter schultz;10/3/2023;1920,88;health;Viduo asper sperno comburo adduco volo.
MARGIE LEGROS;2023-05-08;6727,69;Food;Curatio sumptus cauda.
Shelia Kreiger;5-7-2023;7813,03; TRAVEL ;vado amet aduro copia.
Winston Sawayn;2023-01-11; 2963,67 ; Travel ;VERO CUIUS AUDACIA LIBERO CRINIS TUNC DEMO SUI.
JEANNE LEDNER-ROHAN;2023-04-10;3475,43;Food;Ver vinitor creptio.
debbie hauck;3/5/2023; 5628.51 ;Other;CANIS VOLUPTAS CRESCO.
  cameron dach  ;2023-06-13;6098,30; Office ; Pel cultellus volaticus ater acerbitas candidus ab terebro aveho. 
CHAD BUCKRIDGE;2023-07-02;831.70;other;Denuo quibusdam arma atavus antepono anser corona color vos quae.
  Blanca Gutmann  ;25/3/2023;6173.07;FOOD;Quae apostolus ad cupressus cupiditas.
  Rick Donnelly  ;6-8-2023;2644.53;health;Arbor theca stipes coadunatio vigilo tergo spectaculum absens surculus arcesso.
MARLON KERTZMANN;23/9/2023;6387.04; TRAVEL ; Verumtamen tabernus atavus careo summa dolor. 
CLAIRE CRONIN;24/5/2023;3571.20;Office;Spectaculum repellat allatus.
jack auer;12-17-2023;9937,19;office;amplus necessitatibus doloremque varietas quod reprehenderit spero tergeo minus.
nathan toy;5-11-2023;2376,10;Health;Stips summopere sollicito.
  henry torphy  ;13/4/2023;5815.43; Office ; Somniculosus vito caterva aestas vinitor totus absens tremo. 
STACEY HUELS;4-29-2023;9002.02;Travel;Demulceo ater quasi creator depopulo damno paens omnis.
ralph champlin;2023-03-28;415.27;Food;Certe vorax accusantium adeo urbs aspernatur sursum carus ulciscor.
ELLA ROHAN;2023-09-28;4548.35;Health;Depono repudiandae conitor omnis ars angelus trans vero abbas cariosus.
Sheldon Durgan;16/10/2023; 3788.06 ;office;Timor cunae ara abbas vesper appono.
  Virgil Waelchi  ;1/2/2023;7751.94;food;Aeternus delectatio voco quaerat aer.
Mr. Jamie Christiansen;29/11/2023;7954,70;Food;OMNIS SORTITUS DENS SIMILIQUE UMQUAM CORPORIS.
  JOHNNIE WILLMS-MILLER MD  ;17/8/2023; 3942,03 ;FOOD;dedecor tempus aiunt claudeo crudelis crastinus addo vel clarus.
MEREDITH HELLER;2023-07-29; 1238.83 ;food;Vir pauper aqua cohaero condico vesica aeger decor ad.
ISRAEL BEAHAN;11-6-2023;7512,37; food ;nobis assumenda tenuis administratio depono terebro somniculosus ex cauda.
Brent Shanahan;2023-01-20;1457,99;Health; adinventitias itaque usque aranea animi facere. 
Sandra Bergstrom;23/4/2023;2684.89;Food; Civis conculco summa solus tunc contego tertius comprehendo adicio barba. 
Thelma Boehm;8-13-2023;5657.17;Office; Acervus carmen distinctio aequus libero distinctio adflicto. 
ALLISON METZ;2023-04-11;9767.84;Office; Acies deserunt quidem arcus corporis. 
CHRISTY PARISIAN;24/1/2023;995.85; Travel ; Rerum aegrotatio suscipio victus turbo bestia. 
MS. LANA MULLER-RENNER;2023-12-10; 8373.14 ;Health; Tum amplexus repellendus cohibeo cohaero quisquam cauda. 
Theodore Steuber Sr.;8-16-2023;8443.32; OTHER ;PERFERENDIS TURPIS VENIO ADULESCENS AUFERO.
Jeffrey Emmerich;8/8/2023;6514.73; health ;patruus angulus deorsum capio urbs creber cubicularis tempore.
Lamar Blick;10-3-2023;5198.68;travel; Volo suscipio congregatio somnus amplexus reprehenderit accusator urbanus. 
Lorene King;2023-06-01; 2418.80 ; Food ;Terra adduco tubineus totus.
Mr. Julius Brakus;2023-08-05;1870.18;Office; Numquam vereor eveniet balbus crur. 
bobbie schmeler;2023-02-20; 8252,25 ;Other; Causa terebro numquam acsi pecco caterva totus qui cogito sophismata. 
louise smitham;12-22-2023;1195.77;Health;Reiciendis bestia pel verbera toties claustrum suadeo combibo.
Randall Kessler DVM;12-5-2023;3726.90; Health ; Valde succurro strenuus caste defleo. 
  Andrew Leannon DDS  ;11/1/2023;6917.28;TRAVEL;Utique tendo sui teneo claro audeo iusto molestiae.
Mr. Jacob Moen;2023-09-03;4782.33;OTHER;Tepesco cura turbo.
ALICE BRUEN;6/6/2023; 8972.81 ;OFFICE;unde collum thorax collum.
Angel Erdman;8/10/2023; 2914,49 ;health; spoliatio suppellex solio statim deinde. 
  Henry Feil  ;2023-08-31;6246.93;Office;DENUNCIO SPECIOSUS CORRIGO BARDUS SYNAGOGA TERMINATIO BARBA ALTER.
Annette Armstrong;21/3/2023;8656.12;Other;DAPIFER USUS SPOLIATIO DECENS CLAM ANTIQUUS RATIONE DEFENDO AMITTO.
Dr. Kelvin Boehm;7-15-2023;1699.62;Food; VIRGO VENUSTAS CONDICO DOLORUM CARCER APPONO DELEO VITIOSUS PAENS. 
Gilbert Kunze;2023-09-14; 8822.64 ;Travel;Adsum crebro utique artificiose tabgo.
Oliver Gulgowski;15/11/2023;9144.02;Food; ACCEPTUS DOLORE TABERNUS CATERVA NOBIS ALIUS. 
  tim maggio  ;9/1/2023;1465.98;Food;Alii administratio amet carcer aqua ustilo statua decerno audax.
Ms. Mable Blick;5-14-2023; 8543.68 ;Health;Acceptus corrumpo coniecto animus video.
PAT LUETTGEN;2023-04-23;4960,28; Health ;optio sursum molestiae.
Clint Bauch-Gulgowski II;9-27-2023;9129,83;OTHER;Tabgo numquam capillus ustilo.
  clyde parker-hickle  ;5/5/2023; 9308.40 ;health; Substantia doloremque comes aliquid clarus calamitas tamen basium hic. 
Abel Dibbert;2023-04-13;4478.20; Office ;Iusto tergiversatio cuius adulatio pecto aetas.
  Josh Pacocha  ;1-15-2023;4128.85;Office;Modi supra tredecim pariatur vigilo amplitudo infit.
Lyle Langworth;2/1/2023;3513,13; Other ;Nisi termes theca.
brandon walter;2023-08-02;6327.56;Health;Absens deinde circumvenio.
mr. tommie labadie;11-5-2023;8928.67;Other;Dolorem deorsum spargo vulgaris abbas astrum est.
  Nina Wiza Jr.  ;25/4/2023;4034,34;HEALTH;VALENS CATTUS SUMMA ILLUM DOLOREM TENDO PARIATUR THYMBRA DENUNCIO CATERVA.
  LUKE STRACKE  ;21/6/2023;5887,89;FOOD;contego coniecto certe celebrer tendo viduo tum ver ultra adhaero.
theresa daugherty;2023-09-19;1715.13;Office;COMMODI AUDEO CURSIM AMOR.
DANIEL HACKETT;9-25-2023;9569,72; other ;adipisci ultio abundans auctor utrimque.
  Donna Johnson  ;6/10/2023;4633.75;Other;beneficium tabernus cognatus victoria aetas totus accendo.
Marie Schimmel;25/7/2023;7164.20;OTHER;atavus decor demens valens umerus accendo carpo utpote.
Clifton Wiza;2023-05-10;8529.75;OFFICE; tam itaque voluntarius. 
  fredrick marks  ;7-5-2023;1213.33;Travel;Curvo desolo omnis temeritas tum aequitas rem.
orlando gutkowski;7-24-2023;4601.03; FOOD ; Depopulo advenio reprehenderit decumbo peccatus. 
LESLIE VANDERVORT;13/2/2023;3022,21;HEALTH;CONIURATIO CIVIS CAUTE DOLOREM CARITAS COGITO AMISSIO.
Myron Beier;6/9/2023;7165.56; health ;Curtus ascisco suadeo.
Mr. Shannon Batz;2023-03-31;8938.69;Travel;VOLATICUS CONDUCO VIR ID SOLLERS APPOSITUS.
deborah schoen-doyle;2023-05-13;9935.96;OFFICE;Alter tepidus copiose amitto cenaculum ab reprehenderit.
Ed Hills;2023-04-16; 3949,09 ; travel ;TAMETSI BAIULUS ARMARIUM.
Ms. Shari Jaskolski;12-24-2023;1188.70;Health;Bis verecundia deduco terra tamen.
bobby bauch;2023-12-23;6153,07;Food;Vigor calamitas abstergo incidunt iste.
manuel hansen;10-21-2023;3530,18;Office; Tunc amo denuo candidus. 
Elisa Walsh;2023-01-07;692.99;TRAVEL;auxilium excepturi una conatus sublime eveniet tamen stillicidium magni aranea.
ELIJAH DECKOW;2023-06-10;4556.50;Other;cornu depono tardus coerceo vesper aliquam tantum caritas.
  jo hermann  ;12-18-2023;5444.41; Travel ;Unde quo cimentarius accusator a enim comis strues vere facere.
  MS. GAYLE ZIEMANN  ;2023-06-20;5409.93; health ;Aufero claustrum repellat.
Ora Bashirian;2023-05-07; 149.84 ;health; Spero vereor amita conscendo. 
  Francis Lueilwitz-Baumbach  ;18/12/2023; 971.38 ;Travel;Conservo tubineus sublime sublime.
  Dave Tillman  ;8-28-2023;2987.09;FOOD;Angulus clam vilicus cohaero.
Melody Smitham;2023-02-13; 3314,98 ;Office;DECERNO ABDUCO CASSO QUAERAT COMETES AMPLUS AMPLUS CONCIDO.
Dr. Fred Raynor;5-29-2023; 7506,14 ;Office;Stabilis thymum exercitationem.
  kathy ruecker  ;2023-10-06;9261.04;Other;Decor vulpes despecto una aspicio aliqua.
Mr. Johnathan Corwin;2023-06-12;1719.11;HEALTH;Corrumpo utor defungo vicissitudo avarus vaco eos.
  carolyn heathcote  ;2023-07-30; 9249.13 ;Other;UBERRIME ADULATIO ABBAS TAMQUAM SYNAGOGA COGITO.
christie breitenberg jr.;2023-09-08;7325.30;TRAVEL;cuius defero conturbo super ubi.
LOREN WEIMANN;9/12/2023;1975.21;Other;AUDITOR CINIS DUCIMUS SUMMOPERE CUNAE DEGUSTO CELO DELICATE PATIOR.
hubert hilll;2/10/2023;8490.43; health ;conor somniculosus clementia iusto repellat autus sunt creptio.
  LOUIS FARRELL  ;2023-09-27;2585.13;TRAVEL;Autus verbera speculum virtus aranea amplus.
jessie murphy-rohan i;23/3/2023;8497,40; Food ;Eligendi tactus turbo verbum alter copia bibo apto curis civis.
Jacquelyn Stanton;9/1/2023;2342,65;OTHER;Sustineo tergeo summisse collum defendo delinquo ratione tricesimus desino distinctio.
ROBIN MACGYVER;25/1/2023;1637.98; TRAVEL ;Decet aegre vereor crustulum substantia.
Rufus Von;7-13-2023;7376.22; HEALTH ;Somniculosus quaerat accusator compello ab adduco tripudio.
Glenda Gutmann;7-23-2023;1286.06;Other; Deficio video attero alius videlicet. 
tommy crist md;13/1/2023; 1699.99 ;Travel; Tracto sub cubitum dapifer deficio. 
Robyn Nitzsche;2023-08-23;7100,39;Travel;QUAE AESTAS SOL ATTONBITUS VICTUS ANGELUS ESSE VELUM COMPLECTUS.
COLLEEN BOTSFORD;25/10/2023;4200.91;Travel;Acidus crudelis ventosus tamquam avarus cotidie adstringo.
  christian ortiz  ;2023-10-04;7289.58;FOOD;Vestigium vomito suasoria.
Molly Bruen DVM;2023-03-25;3926,45; Travel ;OCER VINCO DEGENERO ANTEA THESAURUS AUDIO TARDUS TRUCULENTER.
Annie Kling;10-6-2023;4459.01; Food ;Quaerat cultura turba corpus suffoco ulterius cenaculum.
Mrs. Christie O'Kon;11/3/2023;1956.38;Health;ara theatrum celebrer.
Edith Jacobs IV;2023-11-12;8105.13; office ;vulpes suspendo molestias enim vado ademptio color fuga deleniti vester.
  Mary Stanton-Romaguera  ;6-1-2023;2836.33; TRAVEL ;Aufero arto cogito.
  Amelia Kling  ;8/6/2023;996.20; Travel ;Tergum tepesco deserunt.
ELVIRA SCHULTZ;6-17-2023;2002.78; food ; Delicate adficio non architecto paulatim auctor degusto. 
bob nitzsche;4/1/2023;1877.59;Other;CUSTODIA CORRUPTI VEL CORNU DEFERO BEATUS SPIRITUS TUNC DEFERO CITO.
  Clifton Romaguera V  ;2023-04-28;1837,91; OFFICE ;Vulgaris ducimus dolor aliqua.
  alexis weimann  ;2023-05-14;2266.20;Office;Solium calculus attollo apparatus stella corona undique.
  Tracy Hamill  ;31/3/2023;5862,03;other;Thymum cui colo totidem excepturi deserunt abstergo textus amplitudo.
Guy Purdy;9/5/2023;9885.07; Other ;capto fuga libero enim desolo ex doloremque aspicio.
  Oliver Keebler  ;18/7/2023;3508.02;Travel;Aeger traho viriliter tubineus cotidie cruentus creptio cursim vigor ago.
Hazel Nicolas;4-24-2023;1455,65;FOOD; acquiro quisquam viduo bestia abbas aqua. 
karen mccullough dvm;3-7-2023;8306.69;Other;Conforto decor theatrum audeo vorago voluptas.
Paul Cremin;9-2-2023;4923.89; travel ;SOPHISMATA CURSUS ARCUS TERO ACERBITAS.
Mr. Johnnie Hirthe;22/9/2023; 3234.15 ; Health ;Benevolentia statua cunctatio temeritas iste ustulo terga appositus adicio collum.
amber moore;13/10/2023;6925.27;food; Sopor defluo possimus vigor tristis tutamen utroque territo. 
  Luke Wilkinson  ;5/11/2023;5293,43; Health ;Summisse bellum deorsum confugo.
Chelsea Lynch;7-3-2023;9503.29; Other ; Deludo nam rerum truculenter adulescens caelum quaerat suppellex. 
jacob wunsch;10-16-2023;2588.94;Office;Caput ciminatio aperio.
jerome batz;1-8-2023;4188.57;OFFICE;Thorax textus tersus ante est.
DWIGHT PAGAC;25/5/2023;9507.06;Health;AMITTO VESPILLO NON CUPIDITATE ARANEA ABSQUE.
  Michael Swaniawski  ;2023-12-30;7930.50;Travel; Calamitas admiratio praesentium contego acer solitudo pauper. 
Priscilla Greenholt;2023-03-27;4464,77;Health;Clamo degero crux alius amicitia.
freddie hansen-miller dds;2023-02-28;6987,66;Travel;Copia cotidie voco civitas accusator labore deficio spargo cursus curso.
marlene greenholt;12/5/2023;5511.32;other;Ter cernuus ventus colligo venustas ulterius catena commodo tamquam benigne.
Lance Dicki-Brown;20/7/2023;6089.41;health;VENUSTAS VITA CELER ACSI VEHEMENS STIPS QUI CULTELLUS ADULATIO VACUUS.
angelina hoeger;9/1/2023;3762,28;Food;Nesciunt traho attonbitus labore ager valde.
Priscilla Hoppe;3/5/2023;1693.88;Food;Vilis impedit a demulceo a corpus aqua.
Elias Beahan;2023-04-25;2314.68;Food;quos aequitas iure.
Timmy Kuhic;2023-01-06;6597,34;Food;Undique coepi curvo amicitia adipisci vitiosus surculus socius.
Marcella Walker;1-31-2023; 6758.86 ;Health;Commemoro tabula conspergo capio aveho custodia venio tergeo.
LOWELL BOYLE;23/2/2023; 3549.61 ;travel;velociter corrumpo tardus communis animus optio.
Cecelia Shanahan II;2023-04-10;175.48;OTHER; Confero tabernus abbas. 
Johanna Miller IV;2023-06-10;8866,25; Other ;COHAERO BEATAE CORRIGO DENIQUE ASSUMENDA CUBO.
lena mccullough;1-3-2023;5626.76;Food;pectus bibo veniam versus vulnero vomica depereo thesaurus.
crystal spencer;5-23-2023;7016.28;Food; CURTO SOPHISMATA ATTERO OPTIO TACTUS. 
Scott Stoltenberg;4-18-2023;5542.26;travel; Vicinus abduco utilis spiritus bellicus sub caveo. 
Micheal Heidenreich;7/10/2023;4787.06;other;Curso tres aegre doloribus antepono synagoga civis tubineus tabella provident.
Lana Shields-Roberts;4-11-2023; 5016.03 ;TRAVEL; Claro dolorum coerceo eius angustus. 
MELBA PADBERG;10/11/2023;2895,57; OTHER ; Caste canis delicate. 
Patricia Witting;2023-07-17;6659.71;Office;Cogo sophismata aufero dapifer arma calcar decor cunae umbra.
Morris Vandervort;17/10/2023;9013.55;Office;Complectus talio ipsa viduo animi atqui modi dicta ultra aperte.
  Lindsey Windler  ;8-13-2023;4543.18;food;Titulus vox constans sollicito tempore consequuntur admitto subiungo.
Lisa Casper;5-17-2023; 2510,68 ;Office;Tergo calco canto adopto agnosco adaugeo tametsi ultra abundans pecco.
abraham champlin;12-5-2023; 3981.12 ;office;assentator illo unus stabilis.
Katie Tromp;1-23-2023;9857.96;Health;Verumtamen cibo altus volo comminor vado.
  jessica predovic  ;2023-05-30;9694,39;OFFICE; talio vicissitudo verbum adflicto valde audax decens. 
dr. ellen terry;2023-02-16;3594,15;health;Baiulus acer atqui.
dave hickle;2023-08-04;5025.88;TRAVEL;Summopere concido bonus considero candidus communis.
Ralph Osinski;2023-04-14;5749.10;Food;Corrigo crinis custodia color auxilium amor.
Monica Okuneva;10-20-2023; 3905,83 ;Food;depono arbor vesco carus derelinquo absorbeo.
  TOMMIE SCHULTZ  ;10-18-2023;8256,54; other ;Teres fugiat vapulus textor.
  mattie mante  ;5-31-2023;1492.60;Health;Caput demulceo thorax amoveo torrens vilis vox amplitudo accendo.
Faye Kovacek V;21/7/2023;9475,66; Health ;Caput ullam teres alienus derideo vestrum.
KRISTINE STRACKE;2023-12-20;2198.74; Travel ;concedo tactus viridis acsi odio accedo cui vilis impedit adipiscor.
Maurice Ondricka I;2023-12-06;8354.52;other;Consectetur curiositas annus calcar valens molestiae thymum.
Rufus Luettgen;8-30-2023;2450.43; travel ; velit tersus casso tribuo comes accusantium. 
Ms. Ramona Bechtelar;2023-05-08;4353.02;Travel;CONSEQUUNTUR VITO DOLORIBUS CORPUS ASSENTATOR COMPONO EIUS.
Percy Reinger;3/2/2023;3554,39;food;APPROBO CURATIO CUNABULA ADMINISTRATIO.
Russell Dicki;5-13-2023;2137.41;Food;Sum laborum dolor deludo paulatim corrupti.
Kim Nikolaus;2023-12-10;2600.35;other;Depopulo cattus sono ago decimus.
saul purdy;30/3/2023;6637.39;TRAVEL;Caelum audentia conatus statim ubi.
LEO SCHOEN DDS;10-24-2023;1604,37;Other;adversus repudiandae curiositas benevolentia cumque.
TERRI HACKETT;2023-12-18;483,60; HEALTH ;THEATRUM TYRANNUS DEFERO.
Andres Wunsch;9-10-2023;5726.15;Health;ARCA ARMA VITA.
Doreen Lubowitz Sr.;31/5/2023;4197.04; Travel ;Degenero arceo contabesco curtus vos libero.
Ms. Bessie West;3-27-2023; 9238.30 ;OFFICE;Assentator tam vulnus bonus demum ars dapifer sursum enim deficio.
Ms. Jackie Roberts;7-13-2023;7750.13;Food;Sol damnatio sit ulciscor solvo denuncio defero doloribus aut thermae.
Brittany Bahringer;2/8/2023;796,71;Office;custodia videlicet damno studio aer thermae quis.
Misty Pouros;1-27-2023;1068.98;food;Audio curiositas dolore.
clark ondricka;26/10/2023;2021,78;Travel;tabesco adulatio suscipit.
Marguerite Bahringer;6-25-2023;1492,81;Other;Damnatio at ceno adduco claustrum varius volup.
Miss Holly Bernier;26/8/2023;4237.44; Office ; adfectus ipsa cruentus cubicularis. 
Albert Jones;5/10/2023; 8912.25 ;Other; Depulso quibusdam cavus. 
BERNARD GOTTLIEB;2023-11-17;7600,38;Food;Aptus adimpleo conduco viduo absens assentator tabernus tunc terror.
Mathew Osinski;9-14-2023; 2672,62 ;Other; Ater deputo absconditus quae vulariter soluta. 
  Nadine Homenick  ;2023-06-08;8836.15; Other ; Pax pecco clam animadverto video viduo nesciunt. 
Fernando Bruen;2023-12-28; 6806.73 ;Food; Subvenio coadunatio itaque comis vulnus. 
Leroy Morar V;8-26-2023;211.57;Health;certus alveus soluta venio cado summopere sodalitas.
Tina Powlowski IV;4-24-2023; 3494,03 ;Health; tot conduco delectatio in enim tener aequus torrens carbo. 
Antonio Orn;2023-04-01;7230.97;HEALTH;Vox caelestis tametsi voveo consectetur.
rudy boyle;2023-12-01; 4730.02 ;Health;Vindico sequi antea.
